address,lat,lon
서울특별시 양천구 목동서로 133-4,37.5318241,126.8760756
서울특별시 중구 난계로15길 17,37.56881,127.022548
서울특별시 강서구 방화대로47가길 7,37.5765146,126.8130406
서울특별시 관악구 난곡로 331,37.4835721,126.9138221
서울특별시 강남구 테헤란로8길 7,37.4984398,127.0317271
서울특별시 노원구 동일로 1701,37.6803112,127.0549036
서울특별시 영등포구 여의서로 43,37.5307262,126.9248515
서울특별시 강남구 언주로 118,37.4864448,127.0518632
서울특별시 양천구 목동서로 287,37.5215394,126.8690987
서울특별시 마포구 만리재로 63,37.5468098,126.9570311
서울특별시 영등포구 선유로11길 12,37.5185982,126.8874144
서울특별시 영등포구 영등포로 353,37.5150723,126.9180962
서울특별시 동대문구 외대역동로 63-12,37.5941424,127.0639762
서울특별시 마포구 마포대로 53,37.5414322,126.9470541
서울특별시 용산구 청파로 205-6,37.5382365,126.9703506
서울특별시 강남구 영동대로85길 34,37.5068334,127.0608856
서울특별시 광진구 능동로19길 47,37.5469811,127.0711503
서울특별시 강서구 화곡로 344,37.554322,126.8518664
서울특별시 성북구 정릉로26가길 12,37.6027732,127.0123837
서울특별시 서초구 효령로53길 21,37.4855114,127.0135136
서울특별시 용산구 두텁바위로58길 7,37.5499956,126.9818713
서울특별시 강서구 공항대로59다길 39,37.5531704,126.8657486
서울특별시 강서구 공항대로 525,37.5516413,126.8649298
서울특별시 중구 청파로 464,37.5608188,126.9682259
서울특별시 강북구 도봉로 290,37.6342132,127.0237476
서울특별시 강서구 마곡중앙8로 90,37.560573,126.8375933
서울특별시 강서구 마곡중앙6로 10,37.5603987,126.8282291
서울특별시 강서구 마곡서1로 115-1,37.5667077,126.8185711
서울특별시 구로구 가마산로 265,37.4961406,126.8896962
서울특별시 종로구 새문안로3길 36,37.5734105,126.9732813
서울특별시 동대문구 장한로 110,37.5702474,127.07094
서울특별시 동대문구 장한로 85,37.5685304,127.0688399
서울특별시 강동구 올림픽로 659,37.540306,127.1235823
서울특별시 강남구 테헤란로 113,37.4989854,127.0295436
서울특별시 영등포구 경인로 888,37.5177049,126.9112475
서울특별시 용산구 청파로 213,37.5385969,126.9703492
서울특별시 강동구 고덕로 266,37.5546937,127.1551146
서울특별시 강동구 강동대로 217,37.5234078,127.130507
서울특별시 양천구 목동서로 221,37.5275907,126.8709864
서울특별시 송파구 법원로 114,37.4857987,127.1206993
서울특별시 마포구 월드컵북로54길 25,37.5820926,126.8889847
서울특별시 강남구 강남대로 272,37.487793,127.032918
서울특별시 마포구 구룡길 19,37.5870337,126.883709
서울특별시 성동구 왕십리로 369,37.5642188,127.0290141
서울특별시 강북구 도봉로77길 6,37.6337622,127.0228086
서울특별시 동대문구 왕산로 27,37.5768874,127.0264118
서울특별시 동대문구 천호대로 26,37.5738924,127.0260332
서울특별시 양천구 목동동로 437,37.5376621,126.8847136
서울특별시 송파구 올림픽로35가길 11,37.5168027,127.1043832
서울특별시 강남구 자곡로 202,37.4747692,127.105032
서울특별시 성동구 고산자로 284,37.5649558,127.0368122
서울특별시 마포구 월드컵로36길 14,37.5659538,126.9030647
서울특별시 동대문구 왕산로36길 6,37.5792201,127.0434748
서울특별시 종로구 삼일대로 461,37.5756316,126.9857937
서울특별시 강남구 도곡로 225,37.4935296,127.0432348
서울특별시 중구 마장로 110,37.5678275,127.021753
서울특별시 중구 난계로11길 22,37.5663218,127.0225969
서울특별시 강서구 양천로 707,37.5500518,126.8746859
서울특별시 성북구 보문로 135,37.5868731,127.0182645
서울특별시 성동구 아차산로13길 16,37.544655,127.0614031
서울특별시 구로구 디지털로 316,37.4863642,126.89756
서울특별시 종로구 종로 347,37.5737459,127.0164918
서울특별시 강남구 테헤란로92길 13,37.5071478,127.0614475
서울특별시 용산구 백범로90길 74,37.5380163,126.9702506
서울특별시 송파구 송파대로49길 52,37.5062133,127.0989911
서울특별시 강서구 개화동로 561,37.5627186,126.8071934
서울특별시 영등포구 국제금융로 39,37.5241513,126.9298963
서울특별시 강동구 구천면로 192,37.5403622,127.1258416
서울특별시 성동구 마장로26길 13,37.5656932,127.0358712
서울특별시 용산구 한강대로43길 8,37.5323099,126.9696419
서울특별시 용산구 한강대로30길 25,37.5273586,126.9688617
서울특별시 영등포구 국회대로62길 7,37.5276568,126.9163714
서울특별시 영등포구 영신로43길 6,37.5223777,126.9008921
서울특별시 관악구 남부순환로 1802,37.4811802,126.9503221
서울특별시 강남구 논현로85길 52,37.4981949,127.033829
서울특별시 강남구 도곡로3길 19,37.4913785,127.0325295
서울특별시 강남구 테헤란로10길 10,37.4984209,127.0322758
서울특별시 영등포구 영신로38길 5,37.5211164,126.9018363
서울특별시 중구 통일로 114,37.5652466,126.9679407
서울특별시 강남구 자곡로 201,37.4753785,127.1047297
서울특별시 성동구 성수이로 118,37.5451805,127.0578482
서울특별시 서대문구 이화여대3길 45,37.5578097,126.9432708
서울특별시 중구 다산로46길 17,37.5668676,127.0171229
서울특별시 도봉구 노해로69길 15-15,37.6528237,127.0500233
서울특별시 영등포구 여의대로 8,37.5212177,126.9185837
서울특별시 마포구 백범로 205,37.5433349,126.9537989
서울특별시 강서구 공항대로 195,37.559888,126.8291698
서울특별시 마포구 마포대로 26,37.5387882,126.9456059
