region,apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
수원시 영통구,현대힐스테이트,매탄동,176,59.648,30000,15,2006,2017,4,11,2017-04-11,2017-04,1662.6542381974248
수원시 영통구,현대,매탄동,810-1,84.94,29000,8,1989,2017,4,29,2017-04-29,2017-04,1128.657876147869
수원시 영통구,자연앤힐스테이트,이의동,1344,84.49,65000,8,2012,2017,4,11,2017-04-11,2017-04,2543.224050183454
수원시 영통구,동수원자이1차,망포동,686,84.9688,30150,4,2001,2017,4,29,2017-04-29,2017-04,1173.0172722222746
수원시 영통구,동수원자이1차,망포동,686,84.9688,30000,1,2001,2017,4,28,2017-04-28,2017-04,1167.1813653952981
수원시 영통구,벽적골롯데,영통동,971-1,59.96,29300,10,2002,2017,4,21,2017-04-21,2017-04,1615.4092728485657
수원시 영통구,현대힐스테이트,매탄동,176,75.814,33300,20,2006,2017,4,12,2017-04-12,2017-04,1452.01598649326
수원시 영통구,매탄위브하늘채,매탄동,1352,59.9845,35900,4,2008,2017,4,18,2017-04-18,2017-04,1978.4814410389351
수원시 영통구,황골마을주공1,영통동,955-1,59.99,24300,14,1997,2017,4,17,2017-04-17,2017-04,1339.0721786964493
수원시 영통구,한양수자인,망포동,723,59.9617,35500,6,2013,2017,4,21,2017-04-21,2017-04,1957.1810005386774
수원시 영통구,자연앤힐스테이트,이의동,1344,84.49,67800,16,2012,2017,4,1,2017-04-01,2017-04,2652.7783169605873
수원시 영통구,신나무실휴먼시아5단지,영통동,964-5,59.96,22700,13,1997,2017,4,8,2017-04-08,2017-04,1251.528685790527
수원시 영통구,영통센트럴파크뷰,영통동,948-4,59.8,23800,7,1999,2017,4,7,2017-04-07,2017-04,1315.6862876254181
수원시 영통구,동수원자이1차,망포동,686,84.9688,31500,6,2001,2017,4,29,2017-04-29,2017-04,1225.540433665063
수원시 영통구,매탄위브하늘채,매탄동,1352,103.6419,50900,5,2008,2017,4,20,2017-04-20,2017-04,1623.5250415131331
수원시 영통구,자연앤자이3단지,이의동,1339,101.93,72000,4,2012,2017,4,29,2017-04-29,2017-04,2335.1084077307955
수원시 영통구,매탄위브하늘채,매탄동,1352,84.7273,44500,10,2008,2017,4,8,2017-04-08,2017-04,1736.2538402616394
수원시 영통구,늘푸른벽산,망포동,488,59.884,23450,7,2000,2017,4,15,2017-04-15,2017-04,1294.5195711709305
수원시 영통구,신나무실휴먼시아5단지,영통동,964-5,49.59,21400,15,1997,2017,4,15,2017-04-15,2017-04,1426.5803589433353
수원시 영통구,황골마을주공1,영통동,955-1,59.99,23850,20,1997,2017,4,15,2017-04-15,2017-04,1314.2745457576261
수원시 영통구,벽적골두산,영통동,973-3,59.84,27500,16,1997,2017,4,21,2017-04-21,2017-04,1519.2095588235295
수원시 영통구,벽적골롯데,영통동,971-1,59.96,27900,4,2002,2017,4,13,2017-04-13,2017-04,1538.2224816544365
수원시 영통구,황골마을주공1,영통동,955-1,59.99,25400,13,1997,2017,4,6,2017-04-06,2017-04,1399.6886147691282
수원시 영통구,e-편한세상,매탄동,1209,101.709,49000,7,2010,2017,4,18,2017-04-18,2017-04,1592.6240549017296
수원시 영통구,황골마을주공1,영통동,955-1,59.99,24000,2,1997,2017,4,19,2017-04-19,2017-04,1322.5404234039006
수원시 영통구,황골마을주공1,영통동,955-1,59.99,24000,16,1997,2017,4,12,2017-04-12,2017-04,1322.5404234039006
수원시 영통구,황골마을주공1,영통동,955-1,49.76,22500,10,1997,2017,4,15,2017-04-15,2017-04,1494.7849678456591
수원시 영통구,한국2,매탄동,1217,72.84,25300,6,1993,2017,4,20,2017-04-20,2017-04,1148.225425590335
수원시 영통구,광교호반베르디움,원천동,606,59.9718,40000,19,2014,2017,4,15,2017-04-15,2017-04,2204.902971063066
수원시 영통구,광교 해모로 아파트,이의동,1226,84.98,45800,9,2011,2017,4,25,2017-04-25,2017-04,1781.662038126618
수원시 영통구,현대,매탄동,810-1,84.94,29500,14,1989,2017,4,6,2017-04-06,2017-04,1148.1174947021427
수원시 영통구,우남퍼스트빌,매탄동,1274,130.727,44800,14,2002,2017,4,27,2017-04-27,2017-04,1132.8940463714457
수원시 영통구,삼성1,매탄동,810-3,67.13,26000,12,1988,2017,4,11,2017-04-11,2017-04,1280.3634738566961
수원시 영통구,주공,원천동,35,49.94,21300,9,1987,2017,4,27,2017-04-27,2017-04,1409.9627553063676
수원시 영통구,신나무실휴먼시아5단지,영통동,964-5,59.99,24000,13,1997,2017,4,19,2017-04-19,2017-04,1322.5404234039006
수원시 영통구,임광,매탄동,1162,74.25,25500,4,1990,2017,4,1,2017-04-01,2017-04,1135.3252525252526
수원시 영통구,자연앤힐스테이트,이의동,1344,84.55,66500,21,2012,2017,4,22,2017-04-22,2017-04,2600.067415730337
수원시 영통구,청와,망포동,291,39.87,12200,5,1988,2017,4,25,2017-04-25,2017-04,1011.5565588161526
수원시 영통구,신나무실휴먼시아5단지,영통동,964-5,59.94,23150,14,1997,2017,4,24,2017-04-24,2017-04,1276.7645979312647
수원시 영통구,동남,매탄동,810-2,49.68,18900,6,1989,2017,4,27,2017-04-27,2017-04,1257.6413043478262
수원시 영통구,매탄주공4,매탄동,897,45.72,28700,1,1985,2017,4,29,2017-04-29,2017-04,2075.1631671041123
수원시 영통구,매탄주공5,매탄동,897,83.14,43300,4,1985,2017,4,17,2017-04-17,2017-04,1721.6879961510706
수원시 영통구,삼성3,매탄동,1217-7,59.76,22000,1,1993,2017,4,24,2017-04-24,2017-04,1216.9946452476574
수원시 영통구,원천레이크파크,원천동,548,59.99,25000,13,1999,2017,4,3,2017-04-03,2017-04,1377.6462743790632
수원시 영통구,청와,망포동,291,47.52,13900,5,1988,2017,4,27,2017-04-27,2017-04,966.9743265993266
수원시 영통구,청와,망포동,291,47.52,15400,3,1988,2017,4,24,2017-04-24,2017-04,1071.3240740740741
수원시 영통구,현대힐스테이트,매탄동,176,59.648,32300,16,2006,2017,4,11,2017-04-11,2017-04,1790.1243964592275
수원시 영통구,황골마을(쌍용),영통동,1052-2,59.79,25000,8,1998,2017,4,24,2017-04-24,2017-04,1382.2545576183306
수원시 영통구,매탄주공5,매탄동,897,53.85,32000,4,1985,2017,4,21,2017-04-21,2017-04,1964.4493964716808
수원시 영통구,현대힐스테이트,매탄동,176,84.975,37700,22,2006,2017,4,10,2017-04-10,2017-04,1466.6508973227421
수원시 영통구,매탄주공4,매탄동,897,46.8,28900,1,1985,2017,4,20,2017-04-20,2017-04,2041.402136752137
수원시 영통구,매탄주공4,매탄동,897,51.93,31000,3,1985,2017,4,17,2017-04-17,2017-04,1973.421914115155
수원시 영통구,영통3풍림아이원,영통동,1093,124.251,39000,1,2002,2017,4,19,2017-04-19,2017-04,1037.627061351619
수원시 영통구,매탄주공5,매탄동,897,83.1,43400,9,1985,2017,4,6,2017-04-06,2017-04,1726.4948255114323
수원시 영통구,매탄위브하늘채,매탄동,1352,103.4857,48000,2,2008,2017,4,18,2017-04-18,2017-04,1533.3364899691458
수원시 영통구,원천레이크파크,원천동,548,84.79,35000,11,1999,2017,4,18,2017-04-18,2017-04,1364.583087628258
수원시 영통구,매탄위브하늘채,매탄동,1352,84.8974,49000,16,2008,2017,4,5,2017-04-05,2017-04,1907.9995382661896
수원시 영통구,엘지동수원자이,망포동,698,109.0998,38700,14,2003,2017,4,6,2017-04-06,2017-04,1172.636980086123
수원시 영통구,광교호반베르디움,이의동,1184,84.265,52500,7,2011,2017,4,22,2017-04-22,2017-04,2059.6273660475877
수원시 영통구,영통센트럴파크뷰,영통동,948-4,59.99,26700,13,1999,2017,4,6,2017-04-06,2017-04,1471.3262210368393
수원시 영통구,동수원자이1차,망포동,686,126.3534,37600,7,2001,2017,4,15,2017-04-15,2017-04,983.733559999177
수원시 영통구,영통아이파크,영통동,1153,84.9985,33400,18,2006,2017,4,1,2017-04-01,2017-04,1299.0078648446736
수원시 영통구,살구골마을진덕서광성지동아,영통동,988-2,101.25,37300,1,1998,2017,4,7,2017-04-07,2017-04,1217.8403950617285
수원시 영통구,동수원자이1차,망포동,686,84.9688,30000,21,2001,2017,4,15,2017-04-15,2017-04,1167.1813653952981
수원시 영통구,벽적골9단지주공,영통동,970-3,49.26,23500,2,1999,2017,4,21,2017-04-21,2017-04,1577.0665854648803
수원시 영통구,벽적골9단지주공,영통동,970-3,59.39,27900,10,1999,2017,4,3,2017-04-03,2017-04,1552.9856878262335
수원시 영통구,건영1차,영통동,1047-1,134.81,45500,13,1999,2017,4,21,2017-04-21,2017-04,1115.7473481195757
수원시 영통구,벽적골9단지주공,영통동,970-3,59.39,28200,6,1999,2017,4,21,2017-04-21,2017-04,1569.6844586630748
수원시 영통구,영통에듀파크(321동~327동),영통동,957-6,84.96,41500,4,1997,2017,4,8,2017-04-08,2017-04,1614.7681261770247
수원시 영통구,건영1차,영통동,1047-1,99.96,42000,11,1999,2017,4,7,2017-04-07,2017-04,1388.9915966386557
수원시 영통구,영통에듀파크(331동~337동),영통동,957-6,84.96,42000,5,1997,2017,4,3,2017-04-03,2017-04,1634.2231638418082
수원시 영통구,동수원자이1차,망포동,686,126.3534,37000,5,2001,2017,4,8,2017-04-08,2017-04,968.0356840417434
